name,sorted_name,similar_names
Mark Hancock,hancock mark,"['Mark Henick, Mark Hanson']"
Howard Schultz,howard schultz,['Howard Schwartz']
William Dietrich,dietrich william,['']
Jwing-Ming Yang,jwing-ming yang,['']
Michael Obsatz,michael obsatz,['']
Angela Thomas,angela thomas,"['Anna Thomas, Thomas Enger']"
John Noble,john noble,"['John Knoerle, John Kobler, John Knowles']"
Mark Cohen,cohen mark,"['Mark L. Cohen, Martin Cohen']"
Roland Faber,faber roland,['Alex Roland']
Jessica Sorensen,jessica sorensen,['']
M. Chahin,chahin m.,['']
Edo Van Belkom,belkom edo van,['']
Robert West,robert west,"['Robert Walsh, Robert Westall, Wess Roberts']"
Ruth Bell Alexander,alexander bell ruth,['']
Hans Moust,hans moust,['']
Tamara Sneed,sneed tamara,['']
Al Switzler,al switzler,['']
Eoin Colfer,colfer eoin,['']
David Hunt,david hunt,"['David Hume, Dave Hunt']"
François Mauriac,françois mauriac,['']
Deborah Moggach,deborah moggach,['']
Li Yu-ning,li yu-ning,['']
Kevin M. Kruse,kevin kruse m.,['']
Peter King,king peter,['Peter Finn']
Ansel Adams,adams ansel,['']
James R. Mueller,james mueller r.,"['James R. Munkres, James R. Mellow, James R. Mills']"
Claude Blair,blair claude,['Clay Blair']
Shannon Lee Keasler,keasler lee shannon,['']
Veronica Rossi,rossi veronica,['']
David LaRochelle,david larochelle,['']
Paul Rhodes Eddy,eddy paul rhodes,['']
Richard A. Johnson,a. johnson richard,['Richard J. Jensen']
Louie Giglio,giglio louie,['']
Pam Houston,houston pam,"['Mark Houston, Jean Houston, James Houston, Tom Houston']"
Frederick Barthelme,barthelme frederick,['']
Malcolm X,malcolm x,['']
Mary Connealy,connealy mary,['Mark Donnelly']
Joan Sullivan Baranski,baranski joan sullivan,['']
Professor and Head of the Political Science Department Barbara Arneil,and arneil barbara department head of political professor science the,['']
Elijah Eliezer Dessler,dessler eliezer elijah,['']
Anthony J. Amodeo,amodeo anthony j.,['']
Linda Mëniku,linda mëniku,['']
Dan Cushman,cushman dan,['']
A.J. Drew,a.j. drew,['']
Jeff B. Pool,b. jeff pool,['']
J. N. D. Kelly,d. j. kelly n.,['']
Nicholas Meyer,meyer nicholas,['']
Ram Dass,dass ram,['']
Ron Becket,becket ron,['']
Maury Terry,maury terry,['Terri Mauro']
D.B. Searls,d.b. searls,['']
Bruce W. Perry,bruce perry w.,['']
Mitchell Symons,mitchell symons,['']
K. K. Beck,beck k. k.,['']
Francis George Gosling,francis george gosling,['']
Frank Cottrell Boyce,boyce cottrell frank,['']
Peter Nicholls,nicholls peter,['']
Armand Nicholi,armand nicholi,['']
Grady McWhiney,grady mcwhiney,['']
Annalee Jacoby,annalee jacoby,['']
Michael Freedland,freedland michael,"['Michael Freeman, Michael Fleeman']"
Sarah Stegall,sarah stegall,['']
Taz Tally,tally taz,['Ted Tally']
Clement A. Miles,a. clement miles,['']
Alexandra Day,alexandra day,['']
Deborah Wilde,deborah wilde,"['Deborah Wiles, Deborah Hale']"
Alexandria Bellefleur,alexandria bellefleur,['']
Jenaro Taléns,jenaro taléns,['']
Alan Rabinowitz,alan rabinowitz,['']
Thom Jones,jones thom,['']
Monk Henry,henry monk,['Monica Henry']
Victoria Alexander,alexander victoria,['Victoria Belanger']
Christian James Fordyce,christian fordyce james,['']
Richard Rorty,richard rorty,"['Richard Roach, Richard Rohr, Richard Rutt, Richard Roper']"
Shin-Mei Kao,kao shin-mei,['']
William J Poorvu,j poorvu william,['']
Jim Henson,henson jim,['Jim Benton']
Scott Simon,scott simon,['Scott Simpson']
Geronimo Stilton,geronimo stilton,['']
Ella Thorp Ellis,ella ellis thorp,['']
Barney Saltzberg,barney saltzberg,['']
Jean M. Humez,humez jean m.,['Jean M. Auel']
Elizabeth L. Bennett,bennett elizabeth l.,['']
Katrin Kohl,katrin kohl,['']
Ronald E. Pitkin,e. pitkin ronald,['']
Pat Willard,pat willard,['Pat Williams']
Craig Owens,craig owens,['']
Susan Meissner,meissner susan,['Susan Meltsner']
Diana L. Paxson,diana l. paxson,['']
Bianca de Moss,bianca de moss,['']
Don Metz,don metz,['']
Mabel Maney,mabel maney,['']
Robert Tombs,robert tombs,['Robert Ross']
Deborah Robson,deborah robson,['Deborah Gordon']
Simon Whiting,simon whiting,['']
Jody M. Roy,jody m. roy,['']
Carol Marinelli,carol marinelli,['']
Lorenzo Silva,lorenzo silva,['']
Raymond T. McNally,mcnally raymond t.,['']
ReShonda Tate Billingsley,billingsley reshonda tate,['']
Akira Kurosawa,akira kurosawa,['']
Pearl Cleage,cleage pearl,['']
Alicia Juarrero,alicia juarrero,['']
John D. MacDonald,d. john macdonald,['John Dann MacDonald']
Houghton Mifflin Company,company houghton mifflin,['']
Ilena Silverman,ilena silverman,['']
Carol McCormick,carol mccormick,['']
Ovid Wallace Eshbach,eshbach ovid wallace,['']
Jeanne DuPrau,duprau jeanne,['']
Jason Fried,fried jason,['']
David Loye,david loye,"['David Howe, David Lane, David Locke, David Poyer, David Loader, David Life, David Lyle, David Lodge']"
Brandon Stanton,brandon stanton,['']
Philip Goldsmith,goldsmith philip,['']
Kate Douglas Smith Wiggin,douglas kate smith wiggin,['Kate Douglas Wiggin']
Tim Inskipp,inskipp tim,['']
Evan W. Matshes,evan matshes w.,['Evan Matshes']
Marisa Bartolucci,bartolucci marisa,['']
Erwin Schrodinger,erwin schrodinger,['Erwin Schrödinger']
Rob Eagar,eagar rob,['']
Swami Mukundananda,mukundananda swami,['']
Patricia A. Pierce,a. patricia pierce,['']
Stephen Puleo,puleo stephen,"['Stephen Palmer, Stephen Le, Stephen Miles, Stephen Cole']"
Jason Ward,jason ward,['']
Paul S. Kemp,kemp paul s.,['Paul Kemp']
Steven Biel,biel steven,"['Steven Brill, Steven Kiefel']"
Martin Scott,martin scott,"['Justin Scott, Scott Mann, Scott Mariani']"
Ned Sherrin,ned sherrin,['']
Aatish Taseer,aatish taseer,['']
Anna Day,anna day,['Ann Kay']
Konnie L. Wescott,konnie l. wescott,['']
Christian Busch,busch christian,['Christian Burch']
Jane Langton,jane langton,['']
James T. Farrell,farrell james t.,['']
Jennifer Harley Chalmers,chalmers harley jennifer,['']
Stephen Edelston Toulmin,edelston stephen toulmin,['']
Melanie Toth,melanie toth,['Melanie Scott']
M. William Phelps,m. phelps william,['William E. Phipps']
Rosario Capotosto,capotosto rosario,['']
Patricia Cornwell,cornwell patricia,['']
Gary Giddins,gary giddins,['']
Diane Wright Landolf,diane landolf wright,['']
Gerald Edelman,edelman gerald,['']
Dean Haspiel,dean haspiel,['']
Sally Sevey Fitt,fitt sally sevey,['']
Pat Ennis,ennis pat,['']
Ike Blasingame,blasingame ike,['']
Fred N Grayson,fred grayson n,['']
Per Björntorp,björntorp per,['']
City University of New York Craig A. Williams Assistant Professor of Classics Brooklyn College,a. assistant brooklyn city classics college craig new of of professor university williams york,['']
Susan Carroll,carroll susan,['Sean Carroll']
Nat Luurtsema,luurtsema nat,['']
Susannah Kells,kells susannah,['']
Martin W. Liebeck,liebeck martin w.,['Martin Liebeck']
Matthew Modine,matthew modine,['']
Peter Collington,collington peter,"['Peter Collingwood, Peter Collins']"
Claire Hartfield,claire hartfield,['']
Byron Moldofsky,byron moldofsky,['']
Edward Burman,burman edward,"['Edward Bryant, Edward Burns']"
Robert Darvas,darvas robert,"['Robert Haas, Robert Harms, Robert Carver, Robert Harris']"
Kelli London,kelli london,['']
Elie Wiesel,elie wiesel,['']
Robert William Miller,miller robert william,['Robert William Butler']
SANTIDEVA,santideva,['']
Marilyn Johnson,johnson marilyn,['Varian Johnson']
Charles D.. Wrege,charles d.. wrege,['Charles D. Wrege']
Sonia Zamir,sonia zamir,['']
Phillip F. Ostwald,f. ostwald phillip,['']
Mary Renault,mary renault,['']
Philip Sabin,philip sabin,['Philip Seib']
Philip B. Kunhardt,b. kunhardt philip,['']
Lois Gilman,gilman lois,['']
Xianyong Bai,bai xianyong,['']
Gert Hofmann,gert hofmann,['']
Professor of History Joyce Appleby,appleby history joyce of professor,['']
Stephanie S. Pincetl,pincetl s. stephanie,['']
Georges Simenon,georges simenon,['']
Zane,zane,['']
Charles Frazier,charles frazier,"['Charles Fried, Charles Drazin']"
O. E. Rlvaag,e. o. rlvaag,['']
Jeffery Moussaieff Masson,jeffery masson moussaieff,['Jeffrey Moussaieff Masson']
Edward Kimmel,edward kimmel,"['Edward A. Krimmel, Edward Knobel']"
Natasha Anders,anders natasha,['']
James Mann,james mann,"['Mary James, James Kahn']"
Jeannie Hayden,hayden jeannie,['']
Mary Comfort,comfort mary,['Ray Comfort']
Justine Picardie,justine picardie,['']
Robert M. Giller,giller m. robert,"['Robert E. Bieder, Robert Gillespie, Robert L. Allen, Robert L. Jolles, Robert G. Allen']"
Vilhelm Moberg,moberg vilhelm,['']
Seung-woo Byun,byun seung-woo,['']
Stephen Crane,crane stephen,"['Stephen Clarke, Stephen McCranie, Stephen Manes, Stephen Price, Stephen Cole']"
Roy M. Anker,anker m. roy,['']
Yitta Halberstam Mandelbaum,halberstam mandelbaum yitta,['']
Kit M. Kovacs,kit kovacs m.,['']
Ann Ward Radcliffe,ann radcliffe ward,['']
Michael Tellinger,michael tellinger,['']
Dianne Sylvan,dianne sylvan,['Diann Sloan']
Pierre Choderlos de Laclos,choderlos de laclos pierre,['']
Yvonne Lehman,lehman yvonne,['']
Christopher Alan Bayly,alan bayly christopher,['']
James R. Arnold,arnold james r.,['James R. Hurford']
Jurgen Moltmann,jurgen moltmann,['']
Heath Lambert,heath lambert,['']
David Blackbourn,blackbourn david,['Marvin Blackburn']
David L. Carroll,carroll david l.,['David Carroll']
Paul Paul Becker,becker paul paul,['']
Judy Blume,blume judy,['']
Carole L. Glickfeld,carole glickfeld l.,['']
Tom Keegan,keegan tom,['']
Brenda Fowler,brenda fowler,"['Brenda Miller, Brendan Foley']"
Takamura Kotaro,kotaro takamura,['']
Victor S Thomas Professor of Linguistics and the Classics Calvert Watkins,and calvert classics linguistics of professor s the thomas victor watkins,['']
James Kakalios,james kakalios,['']
Alice Goldfarb Marquis,alice goldfarb marquis,['']
Jean Daniélou,daniélou jean,['']
Matt Jarvis,jarvis matt,['']
Maureen Christian Petrosky,christian maureen petrosky,['']
Rebecca Skloot,rebecca skloot,"['Rebecca Solnit, Rebecca Stott']"
David G. Myers,david g. myers,['David G. Stern']
Tad Williams,tad williams,"['Ted Williams, Jack Williams, Tom Williams, William Law, Dar Williams, David Williams, Tia Williams, William May, Sean Williams, Matt Williams, Juan Williams, Pat Williams, Don Williams, Kit Williams, Ed Williams, Liz Williams, Saul Williams, Jim Williams, Joy Williams, Jay Williams, Paul Williams, Mary Williams']"
Arthur Quinn,arthur quinn,['Arthur Pink']
Jane Blackwood,blackwood jane,"['Sage Blackwood, Grant Blackwood']"
James S. Noblitt,james noblitt s.,['']
Alan Cayless,alan cayless,['']
Sara Mills,mills sara,['']
P. R. Reid,p. r. reid,['']
Patricia Romanowski,patricia romanowski,['Patricia Romanowski Bashe']
Mark Julian Cohen,cohen julian mark,['']
Jackie Hardrick,hardrick jackie,['']
R.A. Salvatore,r.a. salvatore,['R. A. Salvatore']
Deborah Chester,chester deborah,['']
Dia L. Michels,dia l. michels,['']
Stephen Greenblatt,greenblatt stephen,['']
Thomas Fuchs,fuchs thomas,['Hugh Thomas']
David E. Spencer,david e. spencer,['']
Jeanne Ray,jeanne ray,['Jeanne Ryan']
Chris Bright,bright chris,['']
Candace Bahr,bahr candace,['Candace Camp']
Dava Sobel,dava sobel,['']
Lawrence Chung,chung lawrence,['']
John Bishop,bishop john,['']
Debra Lee Brown,brown debra lee,['Debra Lee Baldwin']
Cajetan Mary da Bergamo,bergamo cajetan da mary,['']
Jamie C. Martin,c. jamie martin,['James B. Martin']
Ashley Halsey,ashley halsey,['']
William R. Schroeder,r. schroeder william,['William R. Trotter']
Irene Zutell,irene zutell,['']
Wendy Francis,francis wendy,"['Francis Reddy, Linda Francis']"
R. H. Dana,dana h. r.,['H. E. Dana']
Harvard Medical School,harvard medical school,['']
Benjamin J. Sadock,benjamin j. sadock,['']
Æleen Frisch,frisch æleen,['']
Marianne J. Legato,j. legato marianne,['']
Langdon Gilkey,gilkey langdon,['']
Robert Pilpel,pilpel robert,"['Robert Pape, Robert Keppel']"
Ann O’Connell,ann o’connell,['']
Albert L. Lukaszewski,albert l. lukaszewski,['']
Frances Fyfield,frances fyfield,['']
Kenneth E. Bowers,bowers e. kenneth,['']
FRANCES M. ASHCROFT,ashcroft frances m.,['']
Sophie Kinsella,kinsella sophie,['']
Manny Lawton,lawton manny,['Mary Lawson']
Kristina Börjesson,börjesson kristina,['']
Rebecca Tuhus-Dubrow,rebecca tuhus-dubrow,['']
W. S. Kals,kals s. w.,['']
Roy Johansen,johansen roy,"['Jon Johanson, Ron Hansen, Rob Johnson']"
Dawn Michael,dawn michael,"['Michael Davis, Michael Daehn, Michael Haag, Michael Adams, Michael Dahl, Michael Dean, Michael Daly, Michael Jang, Michael Farr, Michael Maren, Michael Dell, Michael Katz, Michael Brown, Michael Frayn, Michael Card']"
John le Carre,carre john le,"['John le Carré, John Le Carré']"
Bob Edwards,bob edwards,['Bill Edwards']
Wilbur Sturtevant Nye,nye sturtevant wilbur,['']
Mark Frauenfelder,frauenfelder mark,['']
Ken Nair,ken nair,['']
Sheri Holman,holman sheri,['']
Linda Carnevale,carnevale linda,['']
Jennifer Armstrong,armstrong jennifer,['']
Victor Davis Hanson,davis hanson victor,['']
Hans Finzel,finzel hans,['']
Otto Penzler,otto penzler,['']
Lawrence Von Bamford,bamford lawrence von,['']
Kurt-Michael Pätzold,kurt-michael pätzold,['']
Datus C. Proper,c. datus proper,['']
Brian Herbert,brian herbert,['Frank Herbert']
Charles Frederick Stroebel,charles frederick stroebel,['']
Marilynn E. Doenges,doenges e. marilynn,['']
Roger Lonsdale,lonsdale roger,['Roger H. Lonsdale']
Felicia Zopol,felicia zopol,['']
Ned Ryun,ned ryun,['']
Mia Couto,couto mia,['']
Peter L. Knight,knight l. peter,['Peter Knight']
Edward D. Lazowska,d. edward lazowska,['']
Shawn Hedman,hedman shawn,['Shawn Dorman']
Jodi Thomas,jodi thomas,"['Thomas Mosdi, Jon Thomas']"
William Renwick,renwick william,['']
Andrew Fukuda,andrew fukuda,['']
Gene Roddenberry,gene roddenberry,['']
Anthony Mongiello,anthony mongiello,['Anthony Minghella']
Bonnie Steffen,bonnie steffen,['']
Tim Grissom,grissom tim,['']
Heinrich Böll,böll heinrich,['']
Jennifer Blomgren,blomgren jennifer,['Jennifer Bloomer']
Bruce Bickel,bickel bruce,['']
Patricia Rieff Anawalt,anawalt patricia rieff,['']
K. G. Denbigh,denbigh g. k.,['']
Kim Harrison,harrison kim,"['Kit Harrison, Nick Harrison, Jim Harrison, Lisi Harrison, Kim Harrington']"
Joel Andreas,andreas joel,['Andreas Jopp']
Todd McCaffrey,mccaffrey todd,['Todd J. McCaffrey']
Leo Brodie,brodie leo,['']
Rowan Robinson,robinson rowan,['Roger Robinson']
Ph Rigaux,ph rigaux,['']
Jess Mowry,jess mowry,['']
Heidi Rolland Unruh,heidi rolland unruh,['']
Maureen Carlson,carlson maureen,['Laurie Carlson']
Ramon L. Presson,l. presson ramon,['']
BISYS Educational Services,bisys educational services,['']
Harold Hutchins,harold hutchins,['']
Diane Bengson,bengson diane,['']
Henry Ashby Turner,ashby henry turner,['']
Lisa Cach,cach lisa,['']
Mark A. Yarhouse,a. mark yarhouse,['']
Thomas J. Cashman,cashman j. thomas,['Thomas F. Cash']
Robert Ford,ford robert,"['Robert Forward, Robert Byrd, Robert Ferro, Robert Gordon, Herbert Ford, Nora Roberts, Robert Jordan, Robert Frost, Robert Coram']"
James Deetz,deetz james,['James DeSena']
Donna Lettow,donna lettow,"['Donna Partow, Donna Leon, Donna Otto']"
Jo Anna Smith,anna jo smith,['']
Tom Clancy,clancy tom,['']
RICK MORGAN,morgan rick,['']
James Canon,canon james,"['James Carol, James Fenton, James Cagney, James Cañón']"
David Wingrove,david wingrove,['David Ringrose']
James Morrow,james morrow,"['James Morgan, James Morton, James Morwood']"
Victoria Belanger,belanger victoria,['Victoria Alexander']
Pamela Duncan,duncan pamela,['Pamela Dean']
Dim Cheuk Lau,cheuk dim lau,['']
Basil C. Hill,basil c. hill,['']
Stephen Glazier,glazier stephen,"['Stephen Blauer, Stephen Slater']"
Peter Jenner,jenner peter,"['Peter Feaver, Peter Orner, Peter Heller, Peter Menzel, Peter Geiger']"
Rick Holmer,holmer rick,['']
Julia Annas,annas julia,['']
Jan J. Tuma,j. jan tuma,['']
Giovanni Verga,giovanni verga,['']
Michelle Segar,michelle segar,"['Michelle Sagara, Michelle Secic']"
Rough Guides,guides rough,['']
Craig G. Bartholomew,bartholomew craig g.,['']
Jonathan Miller,jonathan miller,['']
James Hollis,hollis james,"['James Halpin, James Holland, James Chellis, James Hall']"
Stormie Omartian,omartian stormie,['']
Richard Scarry,richard scarry,['Richard Stark']
Spike Milligan,milligan spike,['']
Jeff Buick,buick jeff,['']
Marcus Braybrooke,braybrooke marcus,['']
Diane Duane,diane duane,['']
Kit Pearson,kit pearson,['']
Walter Marshall,marshall walter,"['Peter Marshall, Marshall Salter']"
Lois G. Grambling,g. grambling lois,['']
Lena Kennedy,kennedy lena,['Les Kennedy']
S. A. Nasar,a. nasar s.,['']
Hülya Tezcan,hülya tezcan,['']
Harry E. Chambers,chambers e. harry,['']
Joscelyn Godwin,godwin joscelyn,['']
William Garrett Piston,garrett piston william,['']
Dan Ryckert,dan ryckert,['']
Debra Skinner,debra skinner,['']
Javier Moro,javier moro,['']
Larry Koved,koved larry,['']
Joan Bunning,bunning joan,['John Dunning']
John Wenham,john wenham,"['John Wyndham, John Weinman']"
Jean Aspen,aspen jean,['']
Martin Carnoy,carnoy martin,['']
Jim Murphy,jim murphy,"['Julie Murphy, Jill Murphy']"
Brian L. Weiss,brian l. weiss,['']
Jean-Pierre Cuzin,cuzin jean-pierre,['Jean-Pierre Dupuy']
Anonimo,anonimo,['ANONIMO']
Sara B. Larson,b. larson sara,['']
Meena Alexander,alexander meena,"['Tamera Alexander, Alexander Beiner, Alexander Kent, Myrna Alexander']"
Lynne Suesse,lynne suesse,['']
Nick Kroll,kroll nick,['']
Jack C. Plano,c. jack plano,['']
Alexandra von Meier,alexandra meier von,['']
Donald R Morris,donald morris r,['']
Katherine B. Shippen,b. katherine shippen,['']
Jane Leslie Conly,conly jane leslie,['']
James Ratkos,james ratkos,['James Kambos']
Gary N. Chambers,chambers gary n.,['']
Betty Sowers Alt,alt betty sowers,['']
David Gilbert,david gilbert,['']
Diamond Dallas Page,dallas diamond page,['']
Michael Knight,knight michael,['Michael Bright']
Christina Soontornvat,christina soontornvat,['']
Michael Dirda,dirda michael,"['Michael Korda, Michael Lind, Michael Hardt, Michael Hirsh, Michael Jordan, Michael Card']"
Mark Ellis,ellis mark,"['Mary Ellis, Mark Elliott']"
Gene Edwards,edwards gene,"['Ted Edwards, G.B. Edwards, Lee Edwards']"
Jim Brosnan,brosnan jim,['']
Charles Miller,charles miller,"['Charles Willeford, Charles Fillmore, Chanel Miller, Charles Tilly, Charles Fuller, Elle Charles, Charles Melcher']"
Michael S. Hyatt,hyatt michael s.,"['Michael Hyatt, Michael S. Horton']"
Lisa Pulitzer,lisa pulitzer,['']
Scott Lobdell,lobdell scott,"[""Scott O'Dell""]"
Don D. Jackson,d. don jackson,['Devon Jackson']
Betsy Farber,betsy farber,['Betsy Carter']
Chie Shinohara,chie shinohara,['']
Oliver Caviglioli,caviglioli oliver,['']
Saint Augustine of Hippo,augustine hippo of saint,['']
Charles Webster Leadbeater,charles leadbeater webster,['']
Hans Bergsten,bergsten hans,['']
Richard H. Steckel,h. richard steckel,['']
Gordon W. Green,gordon green w.,['']
W. Seth Carus,carus seth w.,['']
Yvonne Sewall-Ruskin,sewall-ruskin yvonne,['']
Tim Pears,pears tim,"['Tim Parks, Tim Perry']"
Adrianne Lee,adrianne lee,['']
Pat Lucke Morris,lucke morris pat,['']
Rhoda Blumberg,blumberg rhoda,['']
David Western,david western,"['Peter David, David G. Stern, David Epstein, David DeSteno, David Wiesner, David Weiner, David Weber']"
Debi Stack,debi stack,['']
Jim Carrier,carrier jim,['Jim Carrey']
Kenneth L. Kosanke,kenneth kosanke l.,['']
Bernard J. Nebel,bernard j. nebel,['']
Judith Stelboum,judith stelboum,['']
Barbara Rizek,barbara rizek,"['Barbara Riegel, Barbara Ryden, Barbara Vine, Barbara Rainey']"
Andreé Millar,andreé millar,['']
Cherry Hill,cherry hill,['']
Gwynne Johnson,gwynne johnson,['']
George Ancona,ancona george,['Anne George']
Frank Cammuso,cammuso frank,['']
Martin Griss,griss martin,"['Eric Martin, Martin Amis, Martin Gorst']"
Karla Gottlieb,gottlieb karla,['']
Terence Scully,scully terence,['']
Tim Guest,guest tim,['']
Fatima Sharafeddine,fatima sharafeddine,['']
John Steakley,john steakley,"['John Straley, John Searles']"
Lydia Davis,davis lydia,['']
Shirley A. Becker,a. becker shirley,['']
Adele Lang,adele lang,['']
Pierre-Gilles de Gennes,de gennes pierre-gilles,['']
Karen Ranney,karen ranney,['Karen Manthey']
Alexander L. George,alexander george l.,['']
Anthony Alofsin,alofsin anthony,['']
Andrew Robinson,andrew robinson,['Andrea Robertson']
Carl Marshall,carl marshall,"['Karen Marshall, Marshall Karp']"
G. A. MacGregor,a. g. macgregor,['']
Larry Sloman,larry sloman,['Larry Zisman']
Floyd A. O'Neil,a. floyd o'neil,['']
Robert S. Lyons,lyons robert s.,['']
Anne Marie Cloutier,anne cloutier marie,['']
Patrick Lane,lane patrick,"['Patrick Longo, Patrick Gale, Patrick Hanks, Patrick Faas, Patrick Chan, Patrick Lima, Patrick Neate']"
Ellen Edwards Kennedy,edwards ellen kennedy,['']
Morbus Iff,iff morbus,['']
Jill Nagle,jill nagle,['']
Jeffrey D. Ullman,d. jeffrey ullman,['']
Michael Allen Fox,allen fox michael,"['Michael J. Arlen, Michael Allen']"
M. A. Harris,a. harris m.,"['C. S. Harris, M. A. Harper']"
Tom Vickers,tom vickers,['']
Walter Isaacson,isaacson walter,['']
Ric Gillespie,gillespie ric,['']
Federal Aviation Administration,administration aviation federal,['']
Max Decharne,decharne max,['']
Randall,randall,['']
Ironman Magazine,ironman magazine,['']
Charles Desmarais,charles desmarais,['']
C. Michael Robbins,c. michael robbins,['Michael F. Robinson']
Vince Beiser,beiser vince,['']
Pat Hutchins,hutchins pat,"['Paul Hutchens, Imar Hutchins']"
Charles Chadwick,chadwick charles,['Chadwick Hansen']
Margaret Blanche Pumphrey,blanche margaret pumphrey,['']
William St. Clair,clair st. william,"['William S. Clark, William St Clair']"
Max R. Newhart,max newhart r.,['']
Hugh McManners,hugh mcmanners,['']
Martin Rees,martin rees,"['Martin Sheen, Martin Rizek']"
Alexander (Sasha) Pachev,(sasha) alexander pachev,['']
Jacques Pepin,jacques pepin,['']
Sidney Perkowitz,perkowitz sidney,['']
Ian Stewart,ian stewart,"[""Paul Stewart, Mary Stewart, Dave Stewart, Stewart Evans, Mark Stewart, Gary Stewart, Jon Stewart, Iain Stewart, Stewart O'Nan, Alan Stewart, Leah Stewart, Stewart Brand""]"
Sondra Marshak,marshak sondra,['']
Cathy Grayson,cathy grayson,['']
Keith R. A. DeCandido,a. decandido keith r.,['']
Jeff High,high jeff,['']
John Scarne,john scarne,"['John Sarno, John Osborne, John Searles']"
Kiran Thakrar,kiran thakrar,['']
Diane Fanning,diane fanning,['Jeane Manning']
Jan De Spiegeleer,de jan spiegeleer,['']
Jon Fasman,fasman jon,['']
Barbara Brackman,barbara brackman,['Barbara Branden']
Philomena Essed,essed philomena,['']
James Vance,james vance,['']
David Morton,david morton,"['David Wharton, David Dobson, David Markson, David Marno, David Sutton, David Moorman, David Epston, David Wilton, David Mertz, David Martino']"
Seth McEvoy,mcevoy seth,['']
Raffi,raffi,['']
Linda Goldman,goldman linda,"['Linda Goodman, Linda Gordon']"
Lee Child,child lee,['']
Adam Hart-Davis,adam hart-davis,['']
Robert Stephenson Smyth Baden-Powell Baron Baden-Powell of Gilwell,baden-powell baden-powell baron gilwell of robert smyth stephenson,"['Robert Stephenson Smyth Baden-Powell Baden-Powell of Gilwell, Baron']"
Tracey West,tracey west,['']
Jack Bishop,bishop jack,['Mark Bishop']
Bo Ivar Reicke,bo ivar reicke,['']
Greg Boyle,boyle greg,['']
Iyanla Vanzant,iyanla vanzant,['']
The Neo-Futurists,neo-futurists the,['']
Robert V. Remini,remini robert v.,['Robert Remini']
Herbert Read,herbert read,['']
Daughters of the American Revolution. Minnesota Society. Old Trails and Historic Spots Committee,american and committee daughters historic minnesota of old revolution. society. spots the trails,['']
Paul Poulos,paul poulos,['']
Linda Mason,linda mason,['']
Manuel Castells,castells manuel,['']
Susan J. Rosowski,j. rosowski susan,['']
Theodore Judson,judson theodore,['']
B. J. Lawson,b. j. lawson,['J. D. Mason']
Jonathan Lewis Nasaw,jonathan lewis nasaw,['']
Lawrence E. Kinsler,e. kinsler lawrence,['']
Robert Kirkman,kirkman robert,"['Robert Hillman, Robert Aickman']"
Amaranth Borsuk,amaranth borsuk,['']
Susan Doran,doran susan,"['Susan Conant, Susan Orlean, Susan Golant, Susan Dean']"
Victoria Fromkin,fromkin victoria,['Victoria Brooks']
Henry Farnham May,farnham henry may,['']
Eric Cholet,cholet eric,['']
Mary Twitchell,mary twitchell,['Paul Twitchell']
Janette Hospital,hospital janette,['']
Snoop Dogg,dogg snoop,['']
Brian Stableford,brian stableford,['Brian M. Stableford']
Natalie Kinsey-Warnock,kinsey-warnock natalie,['']
Derek Lambert,derek lambert,['']
John Kenneth Muir,john kenneth muir,['']
Priscilla Ferguson Clement,clement ferguson priscilla,['']
Muhammad Asad,asad muhammad,['Muhammad Ali']
Stephen Miles,miles stephen,"['Stephen Haines, Stephen Le, Stephen Ellis, Stephen Jones, Stephen Bates, Stephen Puleo, Stephen Manes, Stephen Cole, Stephen Miller']"
Gary H. Lincoff,gary h. lincoff,['Gary Lincoff']
Leda Cosmides,cosmides leda,['']
Alla Zusman,alla zusman,['']
Claude Delafosse,claude delafosse,['']
Ken Beck,beck ken,['Kent Beck']
Tananarive Due,due tananarive,['']
Mo Adam Mahmood,adam mahmood mo,['']
Andrew Foster Altschul,altschul andrew foster,['']
Judith Bluestone,bluestone judith,['']
Gayle Berens,berens gayle,['']
Gordon K. Williamson,gordon k. williamson,['']
Marianne Williamson,marianne williamson,['']
Larry Beason,beason larry,['Larry Berman']
Bobby Woolf,bobby woolf,['']
Steven Lynn,lynn steven,['Steven Hyden']
Gerald Robison,gerald robison,['']
Joseph D. Douglass,d. douglass joseph,['']
Caitlin Moran,caitlin moran,['']
Gary S. Aumiller,aumiller gary s.,['']
Dan Deines,dan deines,['']
Donnell Rubay,donnell rubay,['']
Andrzej Sapkowski,andrzej sapkowski,"['Andrzej Zaniewski, Andrzej Paczkowski']"
Gary R. Habermas,gary habermas r.,['']
Jesse Jai McNeil,jai jesse mcneil,['']
Anthony Buckeridge,anthony buckeridge,['']
Etiquette Grrls,etiquette grrls,['']
Rajaram K. Prabhudesai,k. prabhudesai rajaram,['']
Thomas S. Kuhn,kuhn s. thomas,"['Kurt St. Thomas, Thomas S. Kidd']"
Matthew Linn,linn matthew,['']
Edward Bloor,bloor edward,['Edward Behr']
Rosalie Riegle Troester,riegle rosalie troester,['']
Edward Tenner,edward tenner,['Edward Kasner']
Mark Litwak,litwak mark,['']
Jerry B. Jenkins,b. jenkins jerry,"['Perry P. Perkins, Jerry Jenkins']"
Eleanor Mathews,eleanor mathews,['']
Linda Breen Pierce,breen linda pierce,['']
Amanda Cross,amanda cross,['Amanda Sosa']
