name,sorted_name,similar_names
John Connolly,connolly john,['']
Heather McHugh,heather mchugh,['']
H. Leighton Steward,h. leighton steward,['']
John Grafton,grafton john,['John Grant']
Carol Adrienne,adrienne carol,['Adrienne Mayor']
Thisbe Nissen,nissen thisbe,['']
Daniel L. Schacter,daniel l. schacter,['Daniel L Schacter']
Joseph Kanon,joseph kanon,"['Joseph Knox, Joseph Katz, Joseph Wang']"
by Anita Desai,anita by desai,['Anita Desai']
David A. Webb,a. david webb,['David A. Reed']
Cheryl Rogers,cheryl rogers,['Henry Rogers']
Mollie Katzen,katzen mollie,['']
Eric Greene,eric greene,['Brian Greene']
H. Jackson Brown Jr.,brown h. jackson jr.,['H. Jackson Brown']
Carlo Rovelli,carlo rovelli,['Carlo Rotella']
Ngũgĩ wa Mĩriĩ,mĩriĩ ngũgĩ wa,['']
Nathan McCall,mccall nathan,['']
Nadezhda Mandelstam,mandelstam nadezhda,['']
Jean Reese,jean reese,['']
James J. F. Forest,f. forest j. james,['James J. F.. Forest']
Zicheng Hong,hong zicheng,['']
Julia Conway,conway julia,['']
Jacqueline Wilson,jacqueline wilson,"['Jacqueline Mitton, Jacqueline Woodson, Jacqueline Morton']"
Jay M. Pasachoff,jay m. pasachoff,['']
Edward Joseph Young,edward joseph young,['']
Fox Butterfield,butterfield fox,['']
Robert W. Pazmino,pazmino robert w.,['']
Patrick Ryan,patrick ryan,"['Patrick Thean, Patricia Ryan, Patrick Regan']"
Lexus (Firm),(firm) lexus,['']
Barbara Sturken Peterson,barbara peterson sturken,['']
Duane Elgin,duane elgin,['']
Larry Herzberg,herzberg larry,['']
Jessica Abel,abel jessica,['Jessica Allen']
Irving Stone,irving stone,['']
Joseph J. Weed,j. joseph weed,['Joseph J. Keenan']
Henry Neville,henry neville,['']
Monte Burke,burke monte,['Monte Burch']
John T. Edge,edge john t.,['']
Julie K. L. Dam,dam julie k. l.,['']
Katherine Valentine,katherine valentine,['']
Joel Townsley Rogers,joel rogers townsley,['']
Michael T. Goodrich,goodrich michael t.,['']
Myriam Zaoui,myriam zaoui,['']
Randy R. Zahn,r. randy zahn,['']
Roger Chesneau,chesneau roger,['']
Kate Grenville,grenville kate,['']
Ron Rosenbaum,ron rosenbaum,['']
Donna Brook,brook donna,['']
Nicolas Barker,barker nicolas,['Nicola Barker']
Susan Berrin,berrin susan,['Susan Burton']
Carol A. Adelman,a. adelman carol,['']
James J. Fahey,fahey j. james,['']
Alastair Bonnett,alastair bonnett,['']
Michael J. Gelb,gelb j. michael,"['Michael J. Dear, Michael J. Daley, Michael J. Arlen, Michael J. Behe']"
John R. Kohlenberger,john kohlenberger r.,['']
Fyodor Dostoevsky,dostoevsky fyodor,['Fyodor Dostoyevsky']
Василий Аксенов,аксенов василий,['']
Carole A. Levitt,a. carole levitt,['']
Peter Skehan,peter skehan,['']
Charles John Sommerville,charles john sommerville,['C. John Sommerville']
Karen Barad,barad karen,['']
Jacob Sullum,jacob sullum,['']
Pierre Boulez,boulez pierre,['Pierre Boulle']
Helen Oyeyemi,helen oyeyemi,['']
Katherine Ellison,ellison katherine,['']
Helen Fielding,fielding helen,['Henry Fielding']
Charles E. Day,charles day e.,"['Daniel Charles, Charles Daniel, Charles J. Doane']"
Bathroom Reader's Institute,bathroom institute reader's,"[""Bathroom Readers' Institute""]"
Ben Hamper,ben hamper,['']
Mikhail Aleksandrovich Bakunin,aleksandrovich bakunin mikhail,['']
Hermann Broch,broch hermann,['']
Barbara Dee,barbara dee,"['Barbara Frye, Barbara Love, Barbara Bell, Barbara Nadel, Barbara Fadem, Barbara Ryden, Barbara Decker, Barbara Vine, Barbara Pease']"
Tim Flannery,flannery tim,['']
Stuart George Hall,george hall stuart,['']
Senior Lecturer in History Fellow Tim Harper,fellow harper history in lecturer senior tim,['']
Willy Pogány,pogány willy,['']
H. Frank Cervone,cervone frank h.,['']
Kathleen Boyes,boyes kathleen,['Kathleen Bacus']
Subhankar Banerjee,banerjee subhankar,['']
Jerry Beasley,beasley jerry,['']
Joan Reardon,joan reardon,['John Pearson']
Willa Cather,cather willa,['']
Allan Seager,allan seager,['Allan Pease']
Dutch Sheets,dutch sheets,['']
Isolde Pludermacher,isolde pludermacher,['']
Jabari Asim,asim jabari,['']
Penguin Young Readers,penguin readers young,['']
Dona Z. Meilach,dona meilach z.,['']
Nancy Mowll Mathews,mathews mowll nancy,['']
A.E.J. Ogilvie,a.e.j. ogilvie,['']
David A. Day,a. david day,"['David C. Kay, David Day, David A. Karp, David A. Lax']"
Christine (de Pisan),(de christine pisan),['']
Colin P. Masica,colin masica p.,['']
Rinpoche Kalu,kalu rinpoche,['Kalu Rinpoche']
Isabel Wolff,isabel wolff,['']
James Wood,james wood,"['James Lord, James Pool, James Morwood']"
David E. Kyvig,david e. kyvig,['']
David Kitz,david kitz,"['David Ritz, David Getz']"
David Feldman,david feldman,"['David Friedman, David Lehman']"
Constance W. McGeorge,constance mcgeorge w.,['']
Tony Soper,soper tony,['']
Joe Eszterhas,eszterhas joe,['']
Melvin L. Oliver,l. melvin oliver,['']
Leslie Helakoski,helakoski leslie,['']
Caroline Harvey,caroline harvey,"['Caroline Casey, Caroline Shaffer']"
Margaret Mayhew,margaret mayhew,['Margaret Mayall']
Janina Renée,janina renée,['']
Roberto Casati,casati roberto,['']
Lily Williams,lily williams,"['Lisa Williams, Tia Williams, Larry Williams, Niall Williams, Linda Williams, Kit Williams, Emlyn Williams, Liz Williams, Jim Williams, Joy Williams, Jay Williams, Lena Williams, Mary Williams']"
Etheldred Breeze Barry,barry breeze etheldred,['']
Lynn Diane Dierking,diane dierking lynn,['']
Rube Goldberg,goldberg rube,['']
Victoria Goldman,goldman victoria,"['Victoria Adilman, Victoria Holmes, Victoria Moran']"
Greg Campbell,campbell greg,['Jen Campbell']
Morten Strange,morten strange,['']
Lynn Sheene,lynn sheene,['']
Amie Kaufman,amie kaufman,['Alan Kaufman']
Paul Harvey,harvey paul,['Paul Kearney']
William W. Fisher III,fisher iii w. william,['']
Sagebrush Education,education sagebrush,['']
Kathryn Hulme,hulme kathryn,['']
Hermann Hesse,hermann hesse,['']
David Weeks,david weeks,"['David Rees, David Wells']"
Dorothy Allison,allison dorothy,['']
Lynne Hybels,hybels lynne,['']
John Ehle,ehle john,['John Hale']
Columbia-Presbyterian Medical Center,center columbia-presbyterian medical,['']
Aaron Bastani,aaron bastani,['']
Gene Edward Veith Jr.,edward gene jr. veith,['']
Amy Wilensky,amy wilensky,['']
Stephan A. Hoeller,a. hoeller stephan,['']
Elliott Hester,elliott hester,['']
W. G. Ilefeldt,g. ilefeldt w.,['']
Weston Ochse,ochse weston,['']
Judy Halliday,halliday judy,['']
Tim O'Brien,o'brien tim,['']
Ada Fu,ada fu,['']
Todd Strandberg,strandberg todd,['']
Dan Bernstein,bernstein dan,"['Mark Bernstein, Jan Berenstain, Diane Bornstein']"
Brian Cantwell Smith,brian cantwell smith,['']
Robert Forward,forward robert,"['Robert L. Forward, Robert Ford, Robert Barnard, Robert Goddard']"
Dennis De Champeaux,champeaux de dennis,['']
Rick Sternbach,rick sternbach,['']
Jo Ivester,ivester jo,['']
Marco Martinez,marco martinez,['']
Marc McCutcheon,marc mccutcheon,['']
Rose Friedman,friedman rose,"['Rose D. Friedman, Lise Friedman, Rose Fyleman, Robert Friedmann, Jane Friedman']"
Joshua Spanogle,joshua spanogle,['']
Randi L. Massingill,l. massingill randi,['']
Elizabeth Ash Vélez,ash elizabeth vélez,['']
Elizabeth J. Winters Waite,elizabeth j. waite winters,['']
Gioconda Belli,belli gioconda,['']
William F. Fitzhugh,f. fitzhugh william,['']
Isobel Raggett,isobel raggett,['']
Wade T. Wilson,t. wade wilson,['Walter L. Wilson']
Ranulph Fiennes,fiennes ranulph,['Sir Ranulph Fiennes']
Charles Portis,charles portis,['Charles Partee']
Peg Hedstrom,hedstrom peg,['']
Stephen Shore,shore stephen,"['Stephen Eyre, Stephen Cole']"
Laurie Steelsmith,laurie steelsmith,['']
Michael Linenberger,linenberger michael,['']
Edward Conze,conze edward,['Edward Conlon']
Durwood Ball,ball durwood,['']
Brian F. Chellas,brian chellas f.,['']
Kathleen Hall Jamieson,hall jamieson kathleen,['']
Jonathan Eisen,eisen jonathan,"['Jonathan Allen, Jonathan Aitken, Jonathan Eig, Jonathan Friesen, Jonathan Evison, Jonathan Gibson']"
Steve Skidmore,skidmore steve,['']
Brigid Lowry,brigid lowry,['Brian Lowry']
Adele Marie Barker,adele barker marie,['']
Paul Wolfe,paul wolfe,['Pat Wolfe']
Charles Bensinger,bensinger charles,['']
Ronald Lawler,lawler ronald,"['Ronald Haver, Ronald Himler, Ronald Bailey']"
Wolfgang Eric Wagner,eric wagner wolfgang,['']
Julian R. Brown,brown julian r.,['']
Glenda Larke,glenda larke,['']
Marianne Moore,marianne moore,['Maxine Moore']
Robert Rath,rath robert,"['Robert Crais, Robert Nathan, Robert Grant, Robert Rand, Robert Bates, Robert Fritz, Robert Kraus']"
Donna Rand,donna rand,['Donna Grant']
James C. Scott,c. james scott,"['Scott James, James Scott Bell, James Scott']"
Robert van Gulik,gulik robert van,"['Robert Hans van Gulik, Robert Van Gulik']"
Sherwin B. Nuland,b. nuland sherwin,['']
Geoffrey M. Reed,geoffrey m. reed,['']
Philip Jodidio,jodidio philip,['']
Grady Booch,booch grady,['']
A.W. Tozer,a.w. tozer,['AW Tozer']
Alex von Tunzelmann,alex tunzelmann von,['']
Gene Wallenstein,gene wallenstein,['Peter Wallenstein']
Ralph Ginzburg,ginzburg ralph,['']
Levison Wood,levison wood,['']
William Alexander Lincoln,alexander lincoln william,"['Alexander William Kinglake, William Alexander Percy']"
Louis Slobodkin,louis slobodkin,['']
Graham Chapman,chapman graham,['Graham Coleman']
