Title,authors
Rodin in His Time: The Cantor Gifts to the Los Angeles County Museum of Art,"['Los Angeles County Museum of Art', 'Mary L. Levkoff']"
Florida Birds: An Introduction to Familiar Species (State Nature Guides),['Diane Schmidt']
Plain And Simple - A Woman's Journey To The Amish,['Sue Bender']
Space Stations and Graveyards,"['Brannon Jason', 'S. Brown Eric', 'Grover John']"
Guide to Owning a Burmese Cat (Popular Cat Library),"[""Justine O'Flynn""]"
The History and Theory of Rhetoric: An Introduction (2nd Edition),['James A. Herrick']
Baseball Prospectus: 2001 Edition,"['Jeff Bower', 'Joseph Sheehan', 'Clay Davenport', 'Gary Huckabay', 'Chris Kahrl', 'Rany Jazayerli', 'Keith Law', 'Mat Olkin', 'Dave Pease']"
The Birth of Britain volume One,['Winston Leonard Spencer Churchill']
I Spy: 4 Picture Riddle Books (School Reader Collection Lvl 1: (Scholastic Reader Collection),"['Jean Marzollo', 'Walter Wick']"
Napoleon (A Mentor book),['Felix Maurice Hippisley Markham']
"The Jester's Quest (Winds of Light, Book 7)",['Ann Ann Howey']
Voices in Summer,['Rosamunde Pilcher']
Never Salute with a Broken Garter: WWII with an Oregon WAVE,['Margaret Parent Lutz']
Last Words of Saints and Sinners,['Herbert Lockyer']
The Urban Primitive: Paganism in the Concrete Jungle,"['Raven Kaldera', 'Tannin Schwartzstein']"
Dirt Rich,['Mark Podolsky']
"Fire Works, Hand Dipped Ice Cream, Live Bait and Jesus Saves",['F. Vernon Chandler']
Ancient Israel,['Hershel Shanks']
103 Great Poems: A Dual-Language Book (Dover Dual Language German) (German and English Edition),['Johann Wolfgang von Goethe']
Immodest Acts: The Life of a Lesbian Nun in Renaissance Italy,['Judith C. Brown']
La Doctora: The Journal of an American Doctor Practicing Medicine on the Amazon River,['Linnea Smith']
Heartwood: Trickster's Game #1,['Barbara Campbell']
Born In Secret (Firstborn Sons) (Silhouette Intimate Moments),['Kylie Brant']
The Stone that the Builder Refused: A Novel,['Madison Smartt Bell']
A Field Guide to Butterflies of Texas (Texas Monthly Field Guide Series),"['John A. Jackman', 'Bastiaan M. Drees']"
"Feats on the fiord, (Tales for children from many lands)",['Harriet Martineau']
Southern Knights: The Graphic Novel,"['Henry Vogel', 'Jackson Guice']"
Lost Indianapolis (IN) (Images of America),"['John McDonald', 'John P. McDonald']"
Eyewitness Travel Phrase Book: European (14 languages),['DK Travel']
Conversations With Lincoln,['Abraham Lincoln']
"Thomas Paine : Collected Writings : Common Sense / The Crisis / Rights of Man / The Age of Reason / Pamphlets, Articles, and Letters (Library of America)",['Thomas Paine']
Abstract sets and finite ordinals;: An introduction to the study of set theory (International series of monographs on pure and applied mathematics),['Geoffrey Bourton Keene']
Howard Zinn on History,['Howard Zinn']
Goal,"['Dylan Jones', 'Mehrdad Tamiz']"
Voices of earth and sky; the vision life of the native Americans and their culture heroes,['Vinson Brown']
The Night Horseman (Sagebrush Largeprint Westerns),['Max Brand']
Social Research Methods: Qualitative and Quantitative Approaches (4th Edition),['William Lawrence Neuman']
Own Face (Sun & Moon Classics),['Clark Coolidge']
"North American immigration to Brazil: Tombstone records of the ""Campo"" Cemetery, Santa Barbara, Sao Paulo State, Brazil",['Betty Antunes de Oliveira']
The Maxwell Leadership Bible Developing Leaders From The Word Of God,['John C. Maxwell']
World War II and the American Indian,['Jere Bishop Franco']
The Castle in the Attic,['Elizabeth Winthrop']
Francis Hodgson Burnett: The Unexpected Life of the Author of The Secret Garden,['Gretchen Holbrook Gerzina']
Family Tightrope,['Nazli Kibria']
SPELLBINDER: NIGHTWORLD,['L.J. Smith']
"Pennant race,",['James P. Brosnan']
