Title,authors
RAGGEDY ANDY STORIES: Introducing the Little Rag Brother of Raggedy Ann,['Johnny Gruelle']
Bobby Fischer Goes to War: How the Soviets Lost the Most Extraordinary Chess Match,"['David Edmonds', 'John Eidinow']"
The Detection Collection,"['The Detection Club', 'Colin Dexter', 'Robert Goddard', 'Reginald Hill', 'P.D. James']"
Death List,['Donald Goines']
CSS Cookbook,['Christopher Schmitt']
"Chakra Yoga: Balancing Energy for Physical, Spiritual, and Mental Well-being","['Alan Finger', 'Katrina Repka']"
Divided by a Common Language,['Christopher Davies']
The Book of Tea,['Okakura Kakuzo']
Iranians in Chicagoland (IL) (Images of America),"['Hamid Akbari', 'Azar Khounani']"
The doomsters,['Ross Macdonald']
Gnosis and Faith in Early Christianity: An Introduction to Gnosticism,['Riemer Roukema']
Orwell's London,['George Orwell']
SHREWBETTINA'S BIRTHDAY,['John S. Goodall']
East of Eden,['John Steinbeck']
"Doors into Chaos (Star Trek The Next Generation: Gateways, Book 3)",['Robert Greenberger']
Egyptians,"['Douglas J. Brewer', 'Emily Teeter']"
Up from Methodism,['Herbert Asbury']
"Chinese Materia Medica: Chemistry, Pharmacology and Applications",['You-Ping Zhu']
The Disobedient Virgin (Harlequin Presents),['Sandra Marton']
"Miss Fortune (Lear Family Trilogy, Book 3)",['Julia London']
The Big Bounce,['Elmore Leonard']
Letters of a Woman Homesteader,['Elinore Pruitt Stewart']
Knots,['Dale Rolfsen']
The Birth of the Republic 1763-89,['Edmund S. Morgan']
Mission Critical: Realizing the Promise of Enterprise Systems,"['Thomas H. Davenport', 'Professor Department of Management Information School of Management Thomas H Davenport']"
Malchus,['Pieter Aspe']
Python Programming with the Java Class Libraries: A Tutorial for Building Web and Enterprise Applications with Jython,['Richard Hightower']
Animals' Christmas Carol (Merry Christmas!),['Helen Ward']
The Book of Management Wisdom: Classic Writings by Legendary Managers,['Peter Krass']
"Interracial Intimacies: Sex, Marriage, Identity, and Adoption",['Randall Kennedy']
"Dictionary of Nature Myths: Legends of the Earth, Sea, and Sky",['Tamra Andrews']
Handbook of Hydrology,['David R. Maidment']
Uncle John's Slightly Irregular Bathroom Reader (Uncle Johns Bathroom Readers),"[""Bathroom Reader's Institute""]"
Love Only Once,['Johanna Lindsey']
My Childhood Under Fire: A Sarajevo Diary,['Nadja Halilbegovićh']
"An Air That Kills : How the Asbestos Poisoning of Libby, Montana, Uncovered a National Scandal","['Andrew Schneider', 'David McCumber']"
The Last Empire: Essays 1992-2000,['Gore Vidal']
Socrates Cafe: A Fresh Taste of Philosophy,['Christopher Phillips']
The Giant Book of Sudoku Presented by Will Shortz: 300 Wordless Crossword Puzzles,"['Will Shortz', 'Shawn Kennedy']"
A Maidens Grave,['Jeffery Deaver']
Tottering In My Garden: A Gardener's Memoir,['Midge Ellis Keeble']
"Kiss & Run (Harlequin Temptation, No. 1018)(24 Hours: The Wedding)",['Mark Twight']
"The Dragons (Dragonlance Lost Histories, Vol. 6)",['Douglas Niles']
The Language of Letting Go,['Melody Beattie']
The Girls' Guide to Surviving a Break-Up,['Delphine Hirsh']
A Fairly Honourable Defeat (Penguin Twentieth Century Classics),['Iris Murdoch']
Credo: Believing in Something to Die For,['Ray Pritchard']
The Last Report on the Miracles at Little No Horse,['Louise Erdrich']
I'll Be Watching You,['Charles de Lint']
Record Time,['Beverly Brandt']
Nelson Algren: A Life on the Wild Side.,['Nelson Algren']
The Blood Countess (SIGNED),['Lana Popovic']
Call After Midnight (MIRA),['Tess Gerritsen']
"The troll garden, (A plume book)",['Willa Cather']
Spidering Hacks,"['Kevin Hemenway', 'Morbus Iff', 'Tara Calishain']"
THE HOLE BOOK,['Hiroko Oyamada']
So Long Been Dreaming: Postcolonial Science Fiction & Fantasy,"['Nalo Hopkinson', 'Uppinder Mehan']"
Dragon Thunder: My Life with Chgyam Trungpa,"['Diana J. Mukpo', 'Carolyn Rose Gimian']"
A History Maker,['Alasdair Gray']
Successful wine making at home,['H. E. Bravery']
"A technique for producing ideas,",['James Young']
My Boyfriend's Back: True Stories of Rediscovering Love with a Long-Lost Sweetheart,['Donna Hanover']
Moderan,['David R. Bunch']
Ass Whippings,['Michael Dunne Healy']
Wizard of Oz,['Lyman Frank Baum']
Ramona the Pest,['Beverly Cleary']
Drums For Dummies,['Jeff Strong']
Contextual Teaching and Learning: What It Is and Why It's Here to Stay,['Elaine B. Johnson']
Cuba Diaries,['Isadora Tattlin']
Women Living Single,['Ellen Kay Trimberger']
See how they run,['Ally Carter']
Some Friend!,['Marie Bradby']
The Fires Of Heaven (Turtleback School & Library Binding Edition) (Wheel of Time (Pb)),['Robert Jordan']
The Tycoon's Lady (The Baby Bank) (Silhouette Desire),['Maya Banks']
Benny and Babe (Benny Shaw),['Eoin Colfer']
The Top Ten: Writers Pick Their Favorite Books,['J. Peder Zane']
The Documents in the Case,"['Dorothy L. Sayers', 'Robert Eustace']"
Do No Harm,['Henry Marsh']
"Four Paws, Five Directions: A Guide to Chinese Medicine for Cats and Dogs",['Cheryl M. Schwartz']
The Marshall Plan for Getting Your Novel Published: 90 Strategies and Techniques for Selling Your Fiction,['Evan Marshall']
"A Writer at War: Vasily Grossman with the Red Army, 1941-1945",['Vasily Grossman']
Breakfast of Champions,['Kurt Vonnegut']
The Complete Idiot's Guide to Fasting,"['Eve Adamson', 'Linda Horning']"
Bad Boys in Black Tie,"['Lori Foster', 'Erin McCarthy', 'Morgan Leigh']"
J. R. R. Tolkien - The Authorized Biography,['Humphrey Carpenter']
Women and the Genesis of Christianity,"['Ben Witherington', 'Amos Professor of the New Testament for Doctoral Studies Ben Witherington, III III']"
Old Families of Louisiana,"['Stanley C. Arthur', 'Stanley Clisby Arthur', 'George Campbell Huchet de Kernion']"
PNG: The Definitive Guide (O'Reilly Nutshell),['Jennifer Niederst Robbins']
YELLOW DOG.,['Georges Simenon']
Captain Jack's Woman,['Stephanie Laurens']
Freud: The Mind of the Moralist,['Philip Rieff']
Red Hugh,['Robert T Reilly']
"25 vegetables anyone can grow,",['Ann Brokaw Roe Robbins']
Thumbs Up Australia: Hitching the Outback,['Tom Parry']
Lean Logistics: The Nuts and Bolts of Delivering Materials and Goods,['Michel Baudin']
Jeeves and the Mating Season,['P.G. Wodehouse']
GREED!,['Hersh Shefrin']
To Sleep With Evil (Ravenloft),['Andria Cardarelle']
An Infamous Army,['Georgette Heyer']
Tik-Tok of Oz,['L. Frank Baum']
All I Need to Know about Manufacturing I Learned in Joe's Garage : World Class Manufacturing Made Simple,"['William B. Miller', 'Vicki L. Schenk']"
FIREFALL,['Peter Watts']
The nobility of failure: Tragic heroes in the history of Japan,['Ivan Morris']
Mormonism For Dummies (For Dummies (Religion & Spirituality)),"['Jana Riess', 'Christopher Kimball Bigelow']"
"Peace Process: American Diplomacy and the Arab-Isrli Conflict since 1967, Revised Edition",['William B. Quandt']
"The life and opinions of Tristram Shandy, gentleman / by Laurence Sterne (The Modern Library of the world's best books)",['Laurence Sterne']
Straight A's in Maternal-Neonatal Nursing,['Lippincott Williams & Wilkins']
Five Golden Rings,"['Sophie Barnes', 'Karen Erickson', 'Rena Gregory', 'Sandra Jones', 'Vivienne Lorret']"
Justinian and the later Roman Empire,"['John W. Barker', 'John Wesley Barker']"
Beyond Wizardwall,['Janet Morris']
Marya: A Life,['Joyce Carol Oates']
The Skeleton Man,['Joseph Bruchac']
Antique Dust: Ghost Stories,['Robert Westall']
Glinda of Oz,['L. Frank Baum']
Patterns in comparative religion,['Mircea Eliade']
The Doll,['Elizabeth Macneal']
Antietam: Essays on the 1862 Maryland Campaign,['Gary W. Gallagher']
Learning Perl on Win32 Systems,"['Randal L. Schwartz', 'Erik Olson', 'Tom Christiansen']"
Kept for the Master's use,['Frances Ridley Havergal']
Lucky or Smart?: Secrets to an Entrepreneurial Life,['Bo Peabody']
History of the Byzantine State,['Warren T. Treadgold']
A Trip to the Beach,"['Melinda Blanchard', 'Robert Blanchard']"
The Princess Bride,"['Cary Elwes', 'Joe Layden']"
Chemistry of Space (Facts on File Science Dictionary),['John Daintith']
Butterflies Are Free: A Comedy in Two Acts,['Leonard Gershe']
The Day Lincoln was Shot,['Jim Bishop']
My So-Called Normal Life,['Erin Zammett']
Then Sings My Soul,['Robert J. Morgan']
"1794: America, Its Army, and the Birth of the Nation",['Dave R. Palmer']
Ai Yori Aoshi: v. 9,['Kou Fumizuki']
JavaServer Pages,"['Marty Hall', 'Larry Brown', 'Yaakov Chaikin']"
Like a Windy Day,"['Frank Asch', 'Devin Asch']"
Seeing Emily,['Joyce Lee Wong']
Swiss Graphic Design,['Richard Hollis']
Grand Livre De Cuisine: Alain Ducasses's Desserts and Pastries,['Alain Ducasse']
Summer Will Show (Virago Modern Classics),['Sylvia Townsend Warner']
Darwin and the Barnacle: The Story of One Tiny Creature and History's Most Spectacular Scientific Breakthrough,['Rebecca Stott']
Thru the Bible with J. Vernon McGee,['J. Vernon McGee']
"Temptation Of Christ, The",['Nikos Kazantzakis']
The Secret History of the Pink Carnation,['Lauren Willig']
Way to Wisdom: An Introduction to Philosophy,['Karl Jaspers']
Hunting Warbirds: The Obsessive Quest for the Lost Aircraft of World War II,['Carl Hoffman']
God Is for the Alcoholic,['Jerry G. Dunn']
HTML Pocket Reference,"['Jennifer Niederst Robbins', 'Jennifer Niederst']"
Streamer Fly Tying & Fishing 1ST Edition,['Joseph D. Bates']
And Never See Her Again,"['H Hunting', 'Helena Hunting']"
The Geographer's Library,['Jon Fasman']
Microsoft Windows Movie Maker Handbook,"['Bill Birney', 'Seth McEvoy', 'Matt Lichtenberg']"
"King of the Wind, the Story of the Godolphin Arabian""",['Marguerite Henry']
Transforming Paris: The Life and Labors of Baron Haussmann,['David P. Jordan']
The Alamo,"['Pam Pollack', 'Meg Belviso', 'Who HQ']"
Playboy Adult Magazine: July 1971,['Carolyn Bronstein']
Chicken Soup for the Teenage Soul II (Chicken Soup for the Soul),"['Jack Canfield', 'Mark Victor Hansen']"
Troilus and Cressida,['William Shakespeare']
The Gift of the Magi and Other Short Stories,['O. Henry']
The Losers (Vol.1): Ante Up,['Si Spencer']
"Virtual Private Networks, 2nd Edition (O'Reilly Nutshell)","['Charlie Scott', 'Paul Wolfe', 'Mike Erwin']"
God Went to Beauty School,['Cynthia Rylant']
Stephan Schiffman's Telesales: America's #1 Corporate Sales Trainer Shows You How to Boost Your Phone Sales,['Stephan Schiffman']
Soapsuds,"['Finola Hughes', 'Digby Diehl']"
The Greyhound God (Western Literature Series),['Keith Lee Morris']
Juggernaut,"['Tina Stevens', 'Stuart Newman']"
Collapse: How Societies Choose to Fail or Succeed,['Jared Diamond']
Monkey Wrench,['Edward Abbey']
Volcano: A Memoir of Hawai'i,['Garrett Hongo']
Herod Antipas: A Contemporary of Jesus Christ,['Harold W. Hoehner']
Christ's Object Lessons,['Ellen Gould White']
Devil's Bride (Cynster Novels),['Stephanie Laurens']
Marijuana Horticulture: The Indoor/Outdoor Medical Grower's Bible,['Jorge Cervantes']
New York Times Crossword Puzzle Dictionary (NY Times),"['Tom Pulliam', 'Clare Grundman']"
Flowcharts: Plain & Simple: Learning & Application Guide,"['Joiner Assocs., Inc. Staff']"
Alfred & Guinevere,['Ingrid Carlberg']
The 9/11 Commission Report (Pocket University),['Peter Dale Scott']
The Bean Trees (G K Hall Large Print Book Series),['Barbara Kingsolver']
The Book: On the Taboo Against Knowing Who You Are,['Alan Watts']
"The new How I made $2,000,000 in the stock market",['Nicholas Darvas']
Justin and the Best Biscuits in the World,['Mildred Pitts Walter']
"Our Young Family: The Descendants of Thomas and Naomi Hyatt Young, Wilson and Elizabeth Hughes Young, Moses Young, African American Youngs",['Perry Deane Young']
Networking Personal Computers with TCP/IP: Building TCP/IP Networks (O'Reilly Nutshell),['Scott Ballew']
A Rake's Vow (Cynster Novels),['Stephanie Laurens']
Death By Dickens,"['Anne Perry', 'Charles Dickens']"
Moon (Jump Into Science),['Steve Tomecek']
Always Look Back,['Clare Donoghue']
The Cloud of Unknowing,['William Johnston']
Anybody's Gold : The Story of California's Mining Towns,['Joseph Henry Jackson']
History: Fiction or Science?,['Anatoly Fomenko']
What Shall I Grow? (Chick-fil-A),['Steve Robinson']
Pinky Dinky Doo: Where Are My Shoes? (Step into Reading),['Jim Jinkins']
The Stardust Lounge,['Deborah Digges']
The Chosen,['Harold Bloom']
Why I Hate Israel: a Candid Account (Hardcover),['Priya Gandhi-Ganesh']
"The Lost City of the Jedi (Star Wars Jedi Prince, Book 2)","['Paul Davids', 'Hollace Davids']"
Riffs - How to Create and Play Great Guitar Riffs Book/CD,['Rikky Rooksby']
"Old Bones, the Wonder Horse",['Mildred Mastin Pace']
Forever Free: The Story of Emancipation and Reconstruction,['Eric Foner']
The Telling Pool,['David Clement-Davies']
The Epistle to the Romans 1-8 (Vol. 1) (International Critical Commentary Series),['C. E. B. Cranfield']
Beginning Visual Web Developer 2005 Express: From Novice to Professional (Beginning: From Novice to Professional),"['Richard Delorme', 'Paul Sarknas']"
Bottoms,['Joe R. Lansdale']
Gates to Buddhist Practice,['Chagdud Tulku']
The Merchant's War,['Charles Stross']
"Three Novels: The Deep, Engine Summer, and Beasts",['John Crowley']
"Story of General Dann and Mara's Daughter, Griot and the Snow Dog: A Novel",['Doris Lessing']
Flight,['Ishmael Reed']
True Betrayals,['Nora Roberts']
Microsoft Ole Db 2.0 Programmer's Reference and Data Access Sdk (Microsoft Professional Editions),['Microsoft Corporation']
Concise Amharic Dictionary: Amharic-English English-Amharic,['Wolf Leslau']
Where's My Cheese?,"['Spencer Johnson', 'Spencer M. D. Johnson']"
Manchild in the promised land,"['Claude Brown', 'Nathan McCall']"
See You at the Top,"['Zig Ziglar', 'Al Mayton']"
The Everlasting Man,['Gilbert Keith Chesterton']
Persuasive Technology: Using Computers to Change What We Think and Do (Interactive Technologies),"['B.J. Fogg', 'B.J. (Stanford University Fogg, Stanford CA U.S.A.)', 'G. E. Fogg', 'Philip George Zimbardo']"
Stupidity and Tears,['Herbert Kohl']
SAPscript,"['Kogent Learning Solutions Inc.,']"
Internet Shopping Yellow Pages: 2001 Edition,['Joe Kraynak']
Master Photographs,"['Art Wolfe', 'Rob Sheppard']"
The Monster's Mind,['Kevin Gerald']
"Joris of the Rock,",['Leslie Barringer']
A Rage to Live,['Mary S. Lovell']
Hotel World,['Ali Smith']
I'll Be Watching You CD,['Tracy Montoya']
"Problems With Atonement: The Origins Of, And Controversy About, The Atonement Doctrine",['Stephen Finlan']
Guy Food: Rachael Ray's Top 30 30-Minute Meals,['Rachael Ray']
Double Wizard,['Charles C. Mann']
"Dictionary of Cults, Sects, Religions and the Occult","['Larry A. Nichols', 'George Mather', 'Alvin J. Schmidt']"
Beyond Integrity: A Judeo-Christian Approach to Business Ethics,"['Scott Rae', 'Kenman L. Wong']"
Pies & Tarts (Maida Heatter Classic Library),['Lauren Chattman']
Lord Of Chaos (Turtleback School & Library Binding Edition) (Wheel of Time (Pb)),"['Robert Jordan', 'Tor Books']"
"Edible Forest Gardens, 2 Volumes","['Dave Jacke', 'Eric Toensmeier']"
Aromatherapy For Dummies,['Althea Press']
The Book of Laughter and Forgetting (King Penguin S.),['Milan Kundera']
Oracle Pl/Sql Programming,"['Steven Feuerstein', 'Bill Pribyl']"
"The Shore Road Mystery (Hardy Boys, Book 6)",['Franklin W. Dixon']
General chemistry,"['Ralph H. Petrucci', 'Carey Bissonnette', 'F. Geoffrey Herring', 'Jeffry D. Madura']"
Java Power Reference: A Complete Searchable Resource on CD-ROM,['Kim Topley']
The Rider of the Ruby Hills,"[""Louis L'Amour""]"
"Different Children, Different Needs: Understanding the Unique Personality of Your Child","['Dr. Charles F. Boyd', 'David Boehi']"
The First and Second Discourses,"['Jean-Jacques Rousseau', 'Gita May', 'Robert Neelly Bellah', 'David Bromwich', ""Conor Cruise O'Brien""]"
The cult of Loving Kindness,['Paul Park']
"Review of Ophthalmology: Expert Consult - Online and Print, 1e","['William B. Trattler', 'Peter K. Kaiser', 'Neil J. Friedman']"
Beyond the Steps and Stares,['Alexander Beiner']
Random Winds,['Belva Plain']
Sawdust in His Shoes,['Eloise Jarvis McGraw']
Keeping Faith,['Jodi Picoult']
C++ Programming with CORBA(r),"['Michi Henning', 'Steve Vinoski']"
A diary of private prayer,['John Baillie']
SCO Unix in a Nutshell : A Desktop Quick Reference for Sco Unix and Open Desktop,"['Ellie Cutler', ""staff of O'Reilly Media""]"
"Atlas of Functional Histology, 1e","['Barbara Young', 'Phillip Woodford', ""Geraldine O'Dowd""]"
Terra Incognita: Travels in Antarctica,['Sara Wheeler']
Fire From Heaven: The Rise Of Pentecostal Spirituality And The Reshaping Of Religion In The Twenty-first Century,['Harvey Cox']
Let The Journey Begin God's Roadmap For New Beginnings,['Max Lucado']
Windows 2000 System Policies (Book/CD-ROM package),['J. Peter Bruzzese']
"All's Fair in Love, War, and High School",['Janette Rallison']
"Feasts of the Old Testament: Their Historic, Christian and Prophetic Significance (Creation Worldview Ministries, Study Guide)",['Joe Amaral']
Blue Highways: A Journey into America,['William Least Heat Moon']
Little Britches,['Ralph Moody']
"The Large Type American Heritage Basic Dictionary, Revised Edition","['American Heritage Dictionary', 'American Heritage Publishing Staff']"
Use Your Perfect Memory,['Tony Buzan']
Haunted House,['Jan Pieńkowski']
The House on the Strand,['Daphne Du Maurier']
Real Frank Zappa Book,"['Frank Zappa', 'Peter Occhiogrosso']"
"Zorba the Hutt's Revenge (Star Wars: Jedi Prince, Book 3)","['Paul Davids', 'Hollace Davids']"
Secretariat,['Raymond G. Woolfe Jr.']
The Overcoat,[' Nikolai Gogol']
The Java(TM) Developers Almanac: 1998,"['Patrick Chan', 'Lan-Ahn Dang']"
Studies in the Sermon on the Mount,"['D Martyn Lloyd-Jones', 'Martin Lloyd-Williams']"
The Best American Nonrequired Reading 2003,"['Dave Eggers', 'Zadie Smith']"
Engineering in the Ancient World,['John Gray Landels']
The Necklace and Other Short Stories (Dover Thrift Editions),['Guy de Maupassant']
An Introduction to NLP Neuro-Linguistic Programming : Psychological Skills for Understanding and Influencing People,"[""Joseph O'Connor"", 'John Seymour']"
Chalet,['Tony Judt']
Effective Web Design,['Ann Navarro']
Bad Business - A Spenser Novel,['Robert B Parker']
Chosin: Heroic Ordeal of the Korean War,['Eric M. Hammel']
Girls' Night in: Spa Treatments at Home,['Heather L. Shepherd']
"Lord Soth (Dragonlance Warriors, Vol. 6)",['Edo Van Belkom']
Calor,"['Raymond A. Serway', 'Jerry S. Faughn']"
An Empire of the East: Travels in Indonesia,['Norman Lewis']
Hair : Its Power and Meaning in Asian Cultures,"['Alf Hiltebeitel', 'Barbara D. Miller', ""Professor of Anthropology and Director of the Women's Studies Program Barbara D Miller""]"
Build Your Own PC,['Adam Barnes']
Wife to the bastard,['Hilda Lewis']
Done in a Day: 100 Years of Great Writing from the Chicago Daily News,['David Hajdu']
The Wine of Astonishment (Caribbean Writers Series),['Earl Lovelace']
Cancer: A Medical and Spiritual Guide for Patients and Their Families,"['William A. M.D. Fintel', 'Gerald R. Ph.D. McDermott']"
In the Buddha's Words: An Anthology of Discourses from the Pali Canon (Teachings of the Buddha),['Bodhi']
2006 Official Rules of Major League Baseball,"['Robert M. Gorman', 'David Weeks']"
The Pharmacist's Mate,['Amy Fusselman']
"The Complete Guide to Christian Denominations: Understanding the History, Beliefs, and Differences",['Ron Rhodes']
The Double-Cross System,['John Masterman']
Understanding End Times Prophecy: A Comprehensive Approach,['Paul N. Benware']
The Scientific Conquest of Death,['Immortality Institute']
"The Fate of Their Country: Politicians, Slavery Extension, and the Coming of the Civil War",['Michael F. Holt']
The Celebrated Jumping Frog and Other Stories,['Mark Twain']
"Active Server Pages Solutions: An Essential Guide for Dynamic, Interactive Web Site Development","['Jeffrey P. McManus', 'Chris Kinsman']"
Cooking Light Superfast Suppers: Speedy Solutions for Dinner Dilemmas,['Editors of Cooking Light Magazine']
The Cruelest Month,['Louise Penny']
"Star Wars, Episode III - Revenge of the Sith","['Patricia C. Wrede', 'George Lucas']"
BCRAN: Building Cisco Remote Access Networks (Book/CD-ROM package),"['Brian Morgan', 'Craig Dennis']"
Random House Webster's Concise American Sign Language Dictionary,['Elaine Costello']
Underwater To Get Out Of The Rain,['Trevor Norton']
Beloved Physician (Frontier Doctor Trilogy #2),"['Al Lacy', 'Joanna Lacy']"
A Place in The Woods,['Helen Hoover']
Jimmy Stewart: Bomber Pilot,['Starr Smith']
Green Darkness,['Anya Seton']
From Ashes to Life: My Memories of the Holocaust,"['Lucille Eichengreen', 'Harriet Hyman Chamberlain']"
Adventures of Gerard (Collected Works of Sir Arthur Conan Doyle),['Sir Arthur Conan Doyle']
Web Performance Tuning: Speeding Up the Web (O'Reilly Nutshell),['Paul Bausch']
Lord Calthorpe's Promise (Historical Romance),['Sylvia Andrew']
Operation Sea Lion,['Robert Forczyk']
How Buildings Work,['Edward Allen']
Programming Microsoft Outlook 2000 (The Sams Professional Series),['Sue Mosher']
"Psychiatry, Psychoanalysis, And The New Biology Of Mind",['Eric R. Kandel']
Knight of Shadows (Amber Novels),['Roger Zelazny']
Jobshift: How To Prosper In A Workplace Without Jobs,['William Bridges']
Advanced Perl Programming,['Simon Cozens']
New York Run (Endworld),['David Robbins']
"Magician's magic,",['Paul Curry']
The Landing of the Pilgrims (Landmark Books),['James Daugherty']
Learning Red Hat LINUX: Guide to Red Hat LINUX for New Users,['Bill McCarty']
Cats for Dummies (For Dummies (Computer/Tech)),"['Gina Spadafori', 'Paul D. Pion']"
MEETING GOD,['J. I. Packer']
With A Single Spell,['Lawrence Watt-Evans']
"Om, the Secret of Ahbor Valley",['Talbot Mundy']
I am Third,"['Gale Sayers', 'Al Silverman']"
Marijuana Indoors: Five Easy Gardens,['Jorge Cervantes']
Red Hart Magic,['Andre Norton']
The Final Tide,['Norma Cole']
"Krsna, The Supreme Personality of Godhead",['His Divine Grace A. C. Bhaktivedanta Swami Prabhupada']
Piano For Dummies (For Dummies (Computer/Tech)),['Jerry Kovarsky']
Men in the Off Hours,['Anne Carson']
The rebel: An essay on man in revolt =,['Albert Camus']
Curacin cuntica (Spanish Edition),['Zhi Gang Sha']
Beatrice Doesn't Want To,['Laura Joffe Numeroff']
Seeing Is Believing: Experience Jesus through Imaginative Prayer,['Gregory A. Boyd']
Paid in Blood (NCIS Series #1),['Mel Odom']
Dave Barry Is Not Taking This Sitting Down,['Dave Barry']
Abayudaya: The Jews of Uganda,['Jeffrey A. Summit']
Three Against the Tide,['D. Anne Love']
The Hockey Machine (Matt Christopher Sports Classics),['Matt Christopher']
Windows 98 Annoyances,['David Karp']
The Best American Travel Writing 2003 (Bbest American Travel Writing),"['Fran McCullough', 'Molly Stevens']"
"Dutiful Rake, the (Historical Romance)",['Elizabeth Rolls']
Expert .NET Delivery Using NAnt and CruiseControl.NET (Expert's Voice in .NET),['Josh Holmes']
Immortality Option,['James P. Hogan']
Family Health for Dummies,"['Charles B. Inlander', 'Karla Morales', ""The People's Medical Society"", 'Charles B. Anlander']"
On Fire.,['Susannah Cahalan']
Heat Guy J,"['Akane Kazuki', 'Satelight']"
The Complete Idiot's Guide to Improving Your IQ,['Richard Pellegrino']
The Beauty of the Husband: A Fictional Essay in 29 Tangos,['Anne Carson']
The story of Judaism (Schocken paperbacks),['Barry W. Holtz']
Windfall,['Diksha Basu']
The ABC of Stage Lighting,['Steven Louis Shelley']
"Angels, Demons & Gods of the New Millennium",['Dan Brown']
Alcoholism and the Family: A Guide to Treatment and Prevention,"['Ann W. Lawson', 'Gary Lawson']"
The Vonnegut Encyclopedia: An Authorized Compendium,['Marc Leeds']
"Commodities and Commodity Derivatives: Modeling and Pricing for Agriculturals, Metals and Energy",['Helyette Geman']
The Feast,['Robin Mather']
Midnight Bride,['Susan Carroll']
Vermilion,['J G Ballard']
"Upgrading and Repairing PCs, Linux Edition (Upgrading & Repairing)",['Scott Mueller']
California Colonial: The Spanish and Rancho Revival Styles (Schiffer Design Book),['Elizabeth Jean McMillian']
The Fortune Hunters,['Daisy Goodwin']
Physical Properties of Crystals,"['J. F. Nye', 'Professor Physics Laboratory J F Nye']"
The Night Before the Night Before Christmas (Reading Railroad Books),['Natasha Wing']
Embers: A novel,['Christopher Hampton']
On Great White Wings: The Wright Brothers and the Race for Flight,['Fred E. C. Culick']
Sarah Orne Jewett: Her World And Her Work (Radcliffe Biography Series),['Paula Blanchard']
Maximum PC Guide to Building a Dream PC,['Will Smith']
In the New World,"['Thomas A. Spies', 'Sally L. Duncan']"
JAVA 2 Network Security (2nd Edition),"['Li Gong', 'Gary Ellison', 'Mary Dageforde']"
Instant Web Pages!,['Paula Peters']
It Can't Happen Here,"['Lewis, Sinclair']"
A lost lady,"['Willa Cather', 'Susan J. Rosowski', 'Kari Ronning']"
Learning the vi Editor (6th Edition),"['Linda Lamb', 'Arnold Robbins', 'Arthur Robbins']"
Arctic Dreams: Imagination and Desire in a Northern Landscape,['Barry Lopez']
The Good War: An oral history of WWII,['Studs Terkel']
Razor's Edge (Dale Brown's Dreamland),"['Dale Brown', 'Jim DeFelice']"
In the Country of Illness : Comfort and Advice for the Journey,['Robert Lipsyte']
The History of Hell,['Alice K. Turner']
Sampling and Statistical Methods for Behavioral Ecologists,"['Jonathan Bart', 'William J. Notz', 'Michael A. Fligner', 'William I. Notz']"
Indoor Marijuana Horticulture: The Indoor Bible,['Jorge Cervantes']
Essentials of Prayer,['Edward McKendree Bounds']
a good day to die,['Sean Naylor']
Random Harvest,['James Hilton']
"Turn Me On, Dead Man: The Complete Story of the Paul McCartney Death Hoax (Rock & Roll Remembrances)",['Andru J. Reeve']
THE ART OF CUISINE.,['Maurice Joyant']
Teach Yourself Visually HTML,"['Mike Wooldridge', 'Linda Wooldridge']"
"Women of the Left Bank: Paris, 1900-1940","['Shari Benstock', 'University Shari Benstock']"
The Continental Philosophy Reader,['R. Kearney']
Java I/O (O'Reilly Java),['Elliotte Rusty Harold']
Cheap Thrills New York: Great NYC Meals for Under $15 (Cheap Thrills series),['Philip Nel']
Lanterns on the levee: Recollections of a planter's son,['William Alexander Percy']
Queen of Dreams,['Chitra Banerjee Divakaruni']
Somebody to Love A Rock-and-Roll Memoir.,"['Grace Slick', 'Andrea Cagan']"
The Inheritance,['Jennifer Lynn Barnes']
Keys to Woody Plants,"['Edward A. Cope', 'Walter C. Muenscher']"
The Prophet Armed Trotsky: 1879-1921,['Isaac Deutscher']
Christmas Horse,['Mary Higgins Clark']
The Free State of Jones: Mississippi's Longest Civil War,['Victoria E. Bynum']
Homeward Bound: A History of the Bahama Islands to 1850 with a Definitive Study of Abaco in the American Loyalist Plantation Period,['Sandra Riley']
Revelations of a Single Woman: Loving the Life I Didn't Expect,['Connally Gilliam']
Imago (Book Three of the Xenogenesis Series),['Octavia E. Butler']
The Pre-Foreclosure Property Investor's Kit: How to Make Money Buying Distressed Real Estate -- Before the Public Auction,['Thomas Lucier']
The Arabian Nights Murder,['John Dickson Carr']
Travels With Charley,['John Steinbeck']
"A Spirit Controlled Life.,",['Beverly LaHaye']
The Federalist,"['Alexander Hamilton', 'John Jay', 'James Madison']"
"Mars - A Warmer, Wetter Planet (Springer Praxis Books / Space Exploration)",['Jeffrey S. Kargel']
A Lexicon Abridged from Liddell and Scott's Greek-English Lexicon,"['Henry George Liddell', 'Robert Scott']"
The case of the fugitive nurse,['Erle Stanley Gardner']
The Cyclical Serpent: Prospects For An Ever-repeating Universe,['Paul G. Halpern']
Breaking Into Acting For Dummies,"['Larry Garrison', 'Wallace Wang']"
Demon in My View (Den of Shadows),['Amelia Atwater-Rhodes']
Shakespeare After All,['Marjorie Garber']
Fat Ollie's Book,['Ed McBain']
Bread and jam for Frances,['Russell Hoban']
Anarchism and other essays,"['Emma Goldman', 'Sheba Blake']"
