Title,authors
The History and Theory of Rhetoric: An Introduction (2nd Edition),['James A. Herrick']
I Spy: 4 Picture Riddle Books (School Reader Collection Lvl 1: (Scholastic Reader Collection),"['Jean Marzollo', 'Walter Wick']"
Napoleon (A Mentor book),['Felix Maurice Hippisley Markham']
Voices in Summer,['Rosamunde Pilcher']
Last Words of Saints and Sinners,['Herbert Lockyer']
The Urban Primitive: Paganism in the Concrete Jungle,"['Raven Kaldera', 'Tannin Schwartzstein']"
Ancient Israel,['Hershel Shanks']
103 Great Poems: A Dual-Language Book (Dover Dual Language German) (German and English Edition),['Johann Wolfgang von Goethe']
Immodest Acts: The Life of a Lesbian Nun in Renaissance Italy,['Judith C. Brown']
Heartwood: Trickster's Game #1,['Barbara Campbell']
"Thomas Paine : Collected Writings : Common Sense / The Crisis / Rights of Man / The Age of Reason / Pamphlets, Articles, and Letters (Library of America)",['Thomas Paine']
The Castle in the Attic,['Elizabeth Winthrop']
SPELLBINDER: NIGHTWORLD,['L.J. Smith']
Lonely Planet India & Bangladesh Travel Atlas,"['Lonely Planet', 'Michael Benanav', 'Joe Bindloss', 'Lindsay Brown', 'Stuart Butler', 'Mark Elliott', 'Paul Harding', 'Trent Holden', 'Anirban Mahapatra', 'Bradley Mayhew', 'Daniel McCrohan', 'John Noble', 'Kevin Raub', 'Sarina Singh', 'Iain Stewart', 'Isabella Noble']"
The Rise of the Great Powers 1648 - 1815 (The Modern European State System),"['Derek Mckay', 'H.M. Scott']"
The Portable Poe: 2,['Edgar Allan Poe']
Outposts,['Simon Winchester']
Raising Gifted Kids: Everything You Need to Know to Help Your Exceptional Child Thrive,['Barbara Schave Klein']
The Handsome road,['Gwen Bristow']
Environmental Science: Toward A Sustainable Future (8th Edition),"['Richard T. Wright', 'Bernard J. Nebel']"
Tu Beb: desde la Concepcin hasta los 12 meses (Spanish Edition),['Daniel Goleman']
Kenny Doin' Just Fine,['Sadie Wernick Hurwitz']
The Pocket Book of Ogden Nash,['Ogden Nash']
Saint Martin de Porres,"['Giuliana Cavallini', 'Caroline Holland']"
The Bruce Lee Story,"['Linda Lee', 'Mike Lee']"
Sweet Dream Baby,['Sterling Watson']
A Tally of Types,"['Stanley Morison', 'Cambridge University Press']"
Vino Para Dummies,"['Ed McCarthy', 'Mary Ewing-Mulligan']"
Healing Triangle of Light,['LaUna Huffines']
Rakaposhi,['Brian H. Jones']
Jean Paul Sartres No Exit and the Flies,['Jean-Paul Sartre']
The Fall and Rise of the Stately Home,['Pamela Horn']
Wet Work,['Christopher Buckley']
The New Revised Standard Version Bible with Apocrypha,['Hendrickson Publishers']
Pictures of the Night,"['Gabriel Biderman', 'Tim Cooper']"
A Kids' Guide to Building Forts,"['Tom Birdseye', 'Bill Klein']"
ZOMBIE LOVER (XANTH),['Piers Anthony']
Mediating Dangerously: The Frontiers of Conflict Resolution,['Kenneth Cloke']
Lenin's Tomb: The Last Days of the Soviet Empire,['David Remnick']
"Reporting World War II, Part 1: American Journalism, 1938-1944 (Library of America)","['Samuel Hynes', 'Anne Matthews', 'Nancy Caldwell Sorel']"
Crisis and faith,['Ron Dunn']
Hunters & Shooters,['Jean M. Auel']
The Brethren A Tale Of The Crusades,['H. Rider Haggard']
Dr. Bernstein's Diabetes Solution: The Complete Guide to Achieving Normal Blood Sugars Revised & Updated,['Richard K. Bernstein']
"Stopped at Stalingrad: The Luftwaffe and Hitler's Defeat in the East, 1942-1943 (Modern War Studies)",['Joel S. A. Hayward']
"Catching the Thread: Sufism, Dreamwork, and Jungian Psychology","['Llewellyn Vaughan-Lee', 'Irina Tweedie']"
The Triumph of the Moon: A History of Modern Pagan Witchcraft,['Ronald Hutton']
Lifetimes: The Beautiful Way to Explain Death to Children,['Bryan Mellonie']
Strategies for Stillwater,['Dave Hughes']
Praying the Bible for Your Life,['Stormie Omartian']
The Godless Constitution: The Case Against Religious Correctness,"['Isaac Kramnick', 'Robert Laurence Moore', 'R. Laurence Moore']"
"Labor's untold story,","['Richard Boyer', 'Richard Owen Boyer', 'Herbert Montfort Morais']"
Haiku Year,"['Michael Stipe', 'Tom Gilroy', 'Douglas Martin']"
Mothman Prophecies,['John A. Keel']
